cas_rn,analyte_name,synonym,synonym_normalized
27154-44-5,Gamma-hexachloro-cyclohexane,"1,2,3,4,5,6-Hexachlorocyclohexane","1,2,3,4,5,6-hexachlorocyclohexane"
27154-44-5,Gamma-hexachloro-cyclohexane,Hexachlorocyclohexane,hexachlorocyclohexane
27154-44-5,Gamma-hexachloro-cyclohexane,Hexachlorzyklohexan,hexachlorzyklohexan
27154-44-5,Gamma-hexachloro-cyclohexane,DTXSID7020687,dtxsid7020687
27154-44-5,Gamma-hexachloro-cyclohexane,CHEBI:24536,chebi:24536
27154-44-5,Gamma-hexachloro-cyclohexane,DTXCID30687,dtxcid30687
27154-44-5,Gamma-hexachloro-cyclohexane,"Hexachloride, Benzene","hexachloride, benzene"
27154-44-5,Gamma-hexachloro-cyclohexane,Eta hexachlorocyclohexane,eta hexachlorocyclohexane
27154-44-5,Gamma-hexachloro-cyclohexane,RefChem:66976,refchem:66976
27154-44-5,Gamma-hexachloro-cyclohexane,Zeta hexachlorocyclohexane,zeta hexachlorocyclohexane
27154-44-5,Gamma-hexachloro-cyclohexane,Epsilon hexachlorocyclohexane,epsilon hexachlorocyclohexane
27154-44-5,Gamma-hexachloro-cyclohexane,DTXSID80891695,dtxsid80891695
27154-44-5,Gamma-hexachloro-cyclohexane,27154-44-5,27154-44-5
27154-44-5,Gamma-hexachloro-cyclohexane,lindane,lindane
27154-44-5,Gamma-hexachloro-cyclohexane,gamma-HCH,gamma-hch
27154-44-5,Gamma-hexachloro-cyclohexane,beta-HCH,beta-hch
27154-44-5,Gamma-hexachloro-cyclohexane,alpha-HCH,alpha-hch
27154-44-5,Gamma-hexachloro-cyclohexane,58-89-9,58-89-9
27154-44-5,Gamma-hexachloro-cyclohexane,gamma-BHC,gamma-bhc
27154-44-5,Gamma-hexachloro-cyclohexane,beta-BHC,beta-bhc
27154-44-5,Gamma-hexachloro-cyclohexane,Hexachlorane,hexachlorane
27154-44-5,Gamma-hexachloro-cyclohexane,epsilon-HCH,epsilon-hch
27154-44-5,Gamma-hexachloro-cyclohexane,delta-BHC,delta-bhc
27154-44-5,Gamma-hexachloro-cyclohexane,Kwell,kwell
27154-44-5,Gamma-hexachloro-cyclohexane,Benzene hexachloride,benzene hexachloride
27154-44-5,Gamma-hexachloro-cyclohexane,Hexicide,hexicide
27154-44-5,Gamma-hexachloro-cyclohexane,Gamene,gamene
27154-44-5,Gamma-hexachloro-cyclohexane,BETA-HEXACHLOROCYCLOHEXANE,beta-hexachlorocyclohexane
27154-44-5,Gamma-hexachloro-cyclohexane,delta-HCH,delta-hch
27154-44-5,Gamma-hexachloro-cyclohexane,gamma-hexachlorocyclohexane,gamma-hexachlorocyclohexane
27154-44-5,Gamma-hexachloro-cyclohexane,319-85-7,319-85-7
27154-44-5,Gamma-hexachloro-cyclohexane,Aalindan,aalindan
27154-44-5,Gamma-hexachloro-cyclohexane,Gexane,gexane
27154-44-5,Gamma-hexachloro-cyclohexane,beta-Lindane,beta-lindane
27154-44-5,Gamma-hexachloro-cyclohexane,319-84-6,319-84-6
27154-44-5,Gamma-hexachloro-cyclohexane,608-73-1,608-73-1
27154-44-5,Gamma-hexachloro-cyclohexane,Agrocide,agrocide
27154-44-5,Gamma-hexachloro-cyclohexane,Aparasin,aparasin
27154-44-5,Gamma-hexachloro-cyclohexane,Aphtiria,aphtiria
27154-44-5,Gamma-hexachloro-cyclohexane,Chloresene,chloresene
27154-44-5,Gamma-hexachloro-cyclohexane,Codechine,codechine
27154-44-5,Gamma-hexachloro-cyclohexane,Entomoxan,entomoxan
27154-44-5,Gamma-hexachloro-cyclohexane,Gammalin,gammalin
27154-44-5,Gamma-hexachloro-cyclohexane,Gammaterr,gammaterr
27154-44-5,Gamma-hexachloro-cyclohexane,Hexachloran,hexachloran
27154-44-5,Gamma-hexachloro-cyclohexane,Hexaverm,hexaverm
27154-44-5,Gamma-hexachloro-cyclohexane,Hexyclan,hexyclan
27154-44-5,Gamma-hexachloro-cyclohexane,Kokotine,kokotine
27154-44-5,Gamma-hexachloro-cyclohexane,Lindafor,lindafor
27154-44-5,Gamma-hexachloro-cyclohexane,Lindosep,lindosep
27154-44-5,Gamma-hexachloro-cyclohexane,Lorexane,lorexane
27154-44-5,Gamma-hexachloro-cyclohexane,Nicochloran,nicochloran
27154-44-5,Gamma-hexachloro-cyclohexane,Ovadziak,ovadziak
27154-44-5,Gamma-hexachloro-cyclohexane,Owadziak,owadziak
27154-44-5,Gamma-hexachloro-cyclohexane,Pedraczak,pedraczak
27154-44-5,Gamma-hexachloro-cyclohexane,Pflanzol,pflanzol
27154-44-5,Gamma-hexachloro-cyclohexane,Quellada,quellada
27154-44-5,Gamma-hexachloro-cyclohexane,Streunex,streunex
27154-44-5,Gamma-hexachloro-cyclohexane,Aficide,aficide
27154-44-5,Gamma-hexachloro-cyclohexane,Aplidal,aplidal
27154-44-5,Gamma-hexachloro-cyclohexane,Arbitex,arbitex
27154-44-5,Gamma-hexachloro-cyclohexane,Celanex,celanex
27154-44-5,Gamma-hexachloro-cyclohexane,Devoran,devoran
