variable_name,variable_description,data_file_description,data_file_name,cycle
URX14D,URX14D,Environmental Phenols & Parabens,PP_D,2005-2006
URX14D,URX14D,Environmental Phenols & Parabens,PP_E,2007-2008
URX14D,URX14D,Environmental Phenols & Parabens,PP_F,2009-2010
URX14D,URX14D,Environmental Phenols & Parabens,PP_G,2011-2012
URX1TB,URX1TB,Environmental Phenols & Parabens,PP_D,2005-2006
URX1TB,URX1TB,Environmental Phenols & Parabens,PP_E,2007-2008
URX1TB,URX1TB,Environmental Phenols & Parabens,PP_F,2009-2010
URX24D,URX24D,"Pyrethroids, Herbicides, & Organophosphate Metabolites",UPHOPM_E,2007-2008
URX24D,URX24D,"Pyrethroids, Herbicides, & Organophosphate Metabolites",UPHOPM_F,2009-2010
URX24D,URX24D,"Pyrethroids, Herbicides, & Organophosphate Metabolites",UPHOPM_G,2011-2012
URX24D,URX24D,"Pyrethroids, Herbicides, & Organophosphate Metabolites",UPHOPM_H,2013-2014
URX24D,URX24D,"Pyrethroids, Herbicides, & Organophosphate Metabolites",UPHOPM_I,2015-2016
URX24D,URX24D,"Pyrethroids, Herbicides, & Organophosphate Metabolites",UPHOPM_J,2017-2018
URX25T,URX25T,"Pyrethroids, Herbicides, & Organophosphate Metabolites",UPHOPM_E,2007-2008
URX25T,URX25T,"Pyrethroids, Herbicides, & Organophosphate Metabolites",UPHOPM_F,2009-2010
URX3TB,URX3TB,Environmental Phenols & Parabens,PP_D,2005-2006
URX3TB,URX3TB,Environmental Phenols & Parabens,PP_E,2007-2008
URX3TB,URX3TB,Environmental Phenols & Parabens,PP_F,2009-2010
URX4FP,URX4FP,"Pyrethroids, Herbicides, & Organophosphate Metabolites",UPHOPM_E,2007-2008
URX4FP,URX4FP,"Pyrethroids, Herbicides, & Organophosphate Metabolites",UPHOPM_F,2009-2010
URX4FP,URX4FP,"Pyrethroids, Herbicides, & Organophosphate Metabolites",UPHOPM_G,2011-2012
URX4FP,URX4FP,"Pyrethroids, Herbicides, & Organophosphate Metabolites",UPHOPM_H,2013-2014
URX4FP,URX4FP,"Pyrethroids, Herbicides, & Organophosphate Metabolites",UPHOPM_I,2015-2016
URX4FP,URX4FP,"Pyrethroids, Herbicides, & Organophosphate Metabolites",UPHOPM_J,2017-2018
URX4TO,URX4TO,Environmental Phenols,EPH_D,2005-2006
URX4TO,URX4TO,Environmental Phenols,EPH_E,2007-2008
URX4TO,URX4TO,Environmental Phenols,EPH_F,2009-2010
URXBP3,URXBP3,Environmental Phenols,EPH_D,2005-2006
URXBP3,URXBP3,Environmental Phenols,EPH_E,2007-2008
URXBP3,URXBP3,Environmental Phenols,EPH_F,2009-2010
URXBP3,URXBP3,Environmental Phenols,EPH_G,2011-2012
