analyte_name,cycle_first,cycle_last,cycle_count,matrix,unit,original_variable_names
URX14D,2005-2006,2011-2012,4,urine,,URX14D
URX1TB,2005-2006,2009-2010,3,urine,,URX1TB
URX24D,2007-2008,2017-2018,6,urine,,URX24D
URX25T,2007-2008,2009-2010,2,urine,,URX25T
URX3TB,2005-2006,2009-2010,3,urine,,URX3TB
URX4FP,2007-2008,2017-2018,6,urine,,URX4FP
URX4TO,2005-2006,2009-2010,3,urine,,URX4TO
URXBP3,2005-2006,2011-2012,4,urine,,URXBP3
URXBPH,2005-2006,2011-2012,4,urine,,URXBPH
URXBUP,2005-2006,2011-2012,4,urine,,URXBUP
URXCB3,2007-2008,2009-2010,2,urine,,URXCB3
URXCPM,2007-2008,2017-2018,5,urine,,URXCPM
URXDAZ,2005-2006,2009-2010,3,urine,,URXDAZ
URXDCB,2005-2006,2011-2012,4,urine,,URXDCB
URXDMA,2005-2006,2009-2010,3,urine,,URXDMA
URXEPB,2005-2006,2011-2012,4,urine,,URXEPB
URXEQU,2005-2006,2009-2010,3,urine,,URXEQU
URXETD,2005-2006,2009-2010,3,urine,,URXETD
URXETL,2005-2006,2009-2010,3,urine,,URXETL
URXGNS,2005-2006,2009-2010,3,urine,,URXGNS
URXMAL,2007-2008,2017-2018,4,urine,,URXMAL
URXMPB,2005-2006,2011-2012,4,urine,,URXMPB
URXOP1,2005-2006,2017-2018,5,urine,,URXOP1
URXOP2,2005-2006,2017-2018,5,urine,,URXOP2
URXOP3,2005-2006,2017-2018,5,urine,,URXOP3
URXOP4,2005-2006,2017-2018,5,urine,,URXOP4
URXOP5,2005-2006,2017-2018,5,urine,,URXOP5
URXOP6,2005-2006,2017-2018,5,urine,,URXOP6
URXOPM,2007-2008,2017-2018,6,urine,,URXOPM
URXOPP,2005-2006,2009-2010,3,urine,,URXOPP
URXOXY,2007-2008,2017-2018,6,urine,,URXOXY
URXPAR,2007-2008,2017-2018,6,urine,,URXPAR
URXPPB,2005-2006,2011-2012,4,urine,,URXPPB
URXTCC,2007-2008,2017-2018,6,urine,,URXTCC
URXTRS,2005-2006,2011-2012,4,urine,,URXTRS
URXUCR,2005-2006,2011-2012,15,urine,,URXUCR
